id;franchise_name;owner;email;contact;franchise_status;gst_number;registration_number;performance_score;performance_tag;daily_max_service_limit;createdd_by;created_time;updated_by;updated_time
1;furthermore badly yum;sheathe;"(|\[x@5TA79.%(UBR";2722938490;Active;aha;nasalise wherever oil;205.43;Medium;19991;when below;2025-02-20T09:51:42;so account which;2025-02-20T17:34:27
2;inasmuch yawningly stormy;oxidize;"a<uo*[@16!.;5\";2189486234;Blocked;phew anti perfumed;tepid second;96.08;Medium;2548;reel;2025-02-20T12:48:21;tenderly aw;2025-02-20T23:19:28
3;athwart drug unwilling;sunbathe same eek;")S@-^7i?.~p=s";2600465266;Active;vacantly whether with;orange but of;20097;Low;25488;until scorpion hence;2025-02-20T07:04:46;scorn;2025-02-20T22:30:16
4;lively musty;technologist meh via;"O}+@P,n.2SW$";8441599072;PendingApproval;upbeat;triumphantly yippee until;11413.05;Medium;2678;lox and softly;2025-02-21T03:18:21;mortally below;2025-02-20T10:14:28
5;mixture delightfully;handful abaft replicate;"D@Q.-4[E";2825137582;Active;up how;smoothly following worriedly;5732.75;High;3571;annually;2025-02-20T22:52:45;questioningly yuck celebrated;2025-02-20T13:11:32
6;whenever orchestrate aha;whoever pillbox;"pV|@V?0.04n#";3294952137;Active;obligation around lovable;deselect enormously apropos;18422.37;High;3728;thigh hence;2025-02-20T20:36:17;inasmuch;2025-02-21T00:00:23
7;meanwhile;before obscure;"W4$}@dp>).6W";2442678271;PendingApproval;husk;as;27905.68;High;27211;improbable;2025-02-20T21:55:49;fooey forearm whether;2025-02-20T09:50:25
8;aw godparent secret;vastly amidst;"cKx?@B.dn(9-{";5686271509;PendingApproval;bug;ah yet segregate;31719.57;Medium;9111;dearly supposing story;2025-02-20T09:12:52;drat godfather;2025-02-21T03:46:39
9;moisten viciously unrealistic;ouch however;"|>Tnhy@n`2[z~.eH;";5686077616;Blocked;abacus;on defiantly knowingly;31025.22;High;30434;ah demonstrate;2025-02-20T08:59:07;bump amid;2025-02-20T08:56:01
10;instead round;yowza solace;"X[gi(}@bE%.\.>";4341725910;Blocked;zowie;though qua meh;22547.55;Low;4415;eke worse;2025-02-20T09:21:54;competent;2025-02-20T05:17:20
